task_id	queue_id	url	source_lang	target_lang	format	status	verification_status	notes
T1	Q48	https://www.the-village.ru/city/situation-comment/236513-klishin	RU	EN	fact_based_digest	queued	verified	Interview
T2	Q48	https://www.the-village.ru/city/situation-comment/236513-klishin	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T3	Q48	https://www.the-village.ru/city/situation-comment/236513-klishin	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T4	Q59	https://lenta.ru/news/2011/11/30/epic/	RU	EN	fact_based_digest	queued	verified	Epic Hero coverage
T5	Q59	https://lenta.ru/news/2011/11/30/epic/	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T6	Q59	https://lenta.ru/news/2011/11/30/epic/	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T7	Q60	https://lenta.ru/articles/2012/04/09/klishin/	RU	EN	fact_based_digest	queued	verified	Main interview
T8	Q60	https://lenta.ru/articles/2012/04/09/klishin/	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T9	Q60	https://lenta.ru/articles/2012/04/09/klishin/	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T10	Q91	https://os.colta.ru/media/net/details/32317/	RU	EN	fact_based_digest	queued	verified	Interview
T11	Q91	https://os.colta.ru/media/net/details/32317/	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T12	Q91	https://os.colta.ru/media/net/details/32317/	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T13	Q105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	EN	fact_based_digest	queued	verified	Interview
T14	Q105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T15	Q105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T16	Q106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	EN	fact_based_digest	queued	verified	Interview
T17	Q106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T18	Q106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T19	Q121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	EN	fact_based_digest	queued	verified	Emigration project interview
T20	Q121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T21	Q121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T22	Q124	https://ambivert.club/ilya-klishin/	RU	EN	fact_based_digest	queued	verified	Profile interview
T23	Q124	https://ambivert.club/ilya-klishin/	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T24	Q124	https://ambivert.club/ilya-klishin/	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T25	Q135	https://www.youtube.com/watch?v=J5ON16Vfg8g	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T26	Q135	https://www.youtube.com/watch?v=J5ON16Vfg8g	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
