claim_id	claim_from_cv	verification_state	can_publish_now	source_refs	needs_from_user	safe_public_wording	risk_level	priority
CV1	Recognized by The Guardian as one of "30 under 30" young Muscovites	verified	YES	id256 (The Guardian 2015 list)	No	Included in The Guardian New East "30 under 30: Moscow's young power list" (2015).	low	P1
CV2	Media professional with 15+ years experience	partially_verified	YES_WITH_SOFTENING	multi-source timeline ids 1..256	No	Media professional with over a decade of work in digital journalism and media strategy.	low	P2
CV3	Co-founder and editor-in-chief of Volna Media since 2022	verified	YES	id121 (7x7), id205 (Holod)	No	Co-founder of Volna, a media project for Russian-speaking emigrant communities.	low	P1
CV4	Volna operating across 7 countries	unverified_numeric	NO_UNLESS_PROOF	no independent numeric source in registry	Yes: public metrics page or independent coverage	Volna is described as serving audiences in multiple countries.	medium	P2
CV5	Volna scaled to 50k+ subscribers and 2M+ monthly views	unverified_numeric	NO_UNLESS_PROOF	no independent public source captured	Yes: screenshots/export (analytics/channel stats) + public citation	Volna has grown into a sizable diaspora media project (metrics available on request).	high	P1
CV6	Founder/Principal Strategist KF Agency (2017-present)	self_sourced	YES_WITH_CAVEAT	id259 (KF Agency), id265 (KFConsulting site)	No (for soft claim)	Founder of KF Agency (self-described; independent corroboration pending).	medium	P2
CV7	Developed ecosystems for JUNG, Retail Robotics, M.Video, X5, Yandex Practicum	unverified_clients	NO_UNLESS_PROOF	no independent client-side sources	Yes: public case pages/client references	Worked with major technology and retail projects (client names disclosed where independently documented).	high	P1
CV8	Worked with Navalny LIVE, Greenpeace Russia, Mediazona, FRF, People in Need, OVD-Info, Nemtsov Foundation	unverified_clients	NO_UNLESS_PROOF	no captured independent confirmations for full list	Yes: public references/testimonials	Contributed to communication projects in independent media and civil-society sectors.	high	P1
CV9	Assisted 80+ organisations	unverified_numeric	NO_UNLESS_PROOF	none	Yes: portfolio ledger/public references	Supported dozens of media and civic communication projects.	high	P1
CV10	Digital Director RTVI (2016-2019)	partially_verified	YES	multiple profile mentions in EN media + wiki refs	No	Former Digital Director of RTVI (as reported in multiple media profiles).	low	P1
CV11	Head of Digital Newsroom at TV Rain (2013-2016)	partially_verified	YES	The Guardian + Dozhd-related sources	No	Former head of TV Rain's digital newsroom during 2010s.	low	P1
CV12	Co-founded Epic-Hero and sold it to OpenSpace	partially_verified	YES_WITH_CARE	id261 (Lenta epichero) + OpenSpace items	No	Co-founded Epic-Hero; project later transitioned into the OpenSpace ecosystem.	medium	P2
CV13	Editor at OpenSpace (2011-2013)	partially_verified	YES_WITH_CARE	OpenSpace/Colta cluster ids 89-92	No	Worked in editorial roles at OpenSpace-era cultural media projects.	medium	P2
CV14	Digital coordinator for Fair Elections movement (2011-2012)	verified_cluster	YES	Lenta/BusinessFM/Grani + HRW/Guardian cluster ids 247-251 etc	No	Participated in digital coordination around the 2011-2012 fair-elections protest wave.	low	P1
CV15	Architect of protest social hubs and co-organizer of Big White Circle	verified_cluster	YES_WITH_CARE	id256 (Guardian), id62/lenta, id243/lb.ua, id247-249	No	Was publicly linked to the digital mobilization infrastructure for the Big White Circle action.	medium	P1
CV16	Vedomosti 2014 predicted global expansion of troll farm tactics	verified	YES	id6 (Vedomosti lajki-na-zapad)	No	Published analysis in 2014 on outward expansion of Kremlin-linked manipulation tactics.	low	P1
CV17	Founder of ReadMe.txt Telegram channel and organizer of public book clubs	unverified	NO_UNLESS_PROOF	no captured independent source	Yes: public channel + media mentions	Runs literary/theory public communication formats.	medium	P2
CV18	Poetry publications in Polutona	partially_verified	YES_WITH_CARE	id258 (Polutona ref, crawler-limited)	Optional manual check	Published poetry in literary outlets including Polutona.	medium	P2
CV19	MGIMO BA 2004-2008	citation_needed_on_wiki	NO_UNLESS_PROOF	wiki audit marks citation needed	Yes: diploma scan details or independent alumni listing	Graduated from MGIMO (to be cited with independent source/doc proof).	high	P1
CV20	MGIMO MA 2008-2010	citation_needed_on_wiki	NO_UNLESS_PROOF	wiki audit marks citation needed	Yes: diploma scan details or independent alumni listing	Completed postgraduate studies at MGIMO (source to be added).	high	P1
CV21	Aristotle University exchange program	unverified	NO_UNLESS_PROOF	none	Yes: certificate/public listing	Participated in international academic exchange (details available upon request).	medium	P2
CV22	FLEX alumnus (USA, Louisiana, 2003-2004)	partially_verified	YES_WITH_CARE	wiki has unresolved flex ref; alternative MEL refs partial	Need one stable source	FLEX program alumnus (U.S. exchange year).	medium	P2
CV23	English C2 / German A2 / Lithuanian B1 / Greek B1	self_declared	NO_UNLESS_TEST_DOC	none	Yes: certificates or public speaking evidence	Works professionally in Russian and English; additional languages in progress.	medium	P3
CV24	Research agenda: propaganda genealogy, digital autocracy, media engineering	self_positioning	YES	authorial self-description	No	Current research focus includes propaganda systems, digital autocracy, and media engineering.	low	P3
CV25	Media scholar-practitioner positioning	self_positioning	YES	self-description	No	Media practitioner developing a research-based framework from field experience.	low	P3
