task_id	queue_id	url	source_lang	target_lang	format	status	verification_status	notes
PT1	Q63	https://lenta.ru/news/2012/01/20/prishli/	RU	EN	fact_based_digest	queued	search_verified_only	Security-pressure claim around protest organizer role
PT2	Q63	https://lenta.ru/news/2012/01/20/prishli/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
PT3	Q63	https://lenta.ru/news/2012/01/20/prishli/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
PT4	Q79	https://lenta.ru/news/2012/01/23/klishin/	RU	EN	fact_based_digest	queued	search_verified_only	Follow-up on pressure narrative
PT5	Q79	https://lenta.ru/news/2012/01/23/klishin/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
PT6	Q79	https://lenta.ru/news/2012/01/23/klishin/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
PT7	Q64	https://lenta.ru/news/2012/02/21/whitecircle/	RU	EN	fact_based_digest	queued	search_verified_only	White Circle infrastructure incident
PT8	Q64	https://lenta.ru/news/2012/02/21/whitecircle/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
PT9	Q64	https://lenta.ru/news/2012/02/21/whitecircle/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
PT10	Q90	https://os.colta.ru/news/details/33562/	RU	EN	fact_based_digest	queued	search_verified_only	OpenSpace organizer/pressure context
PT11	Q90	https://os.colta.ru/news/details/33562/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
PT12	Q90	https://os.colta.ru/news/details/33562/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
PT13	Q234	https://republic.ru/posts/20566	RU	EN	fact_based_digest	queued	verified_open	Interview context: first-person account
PT14	Q234	https://republic.ru/posts/20566	RU	FR	fact_based_digest	queued	verified_open	Translate/adapt to French
PT15	Q234	https://republic.ru/posts/20566	RU	DE	fact_based_digest	queued	verified_open	Translate/adapt to German
PT16	Q235	https://www.rbc.ru/politics/20/01/2012/5703f2149a7947ac81a640e2	RU	EN	fact_based_digest	queued	search_verified_only	Major Russian outlet coverage
PT17	Q235	https://www.rbc.ru/politics/20/01/2012/5703f2149a7947ac81a640e2	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
PT18	Q235	https://www.rbc.ru/politics/20/01/2012/5703f2149a7947ac81a640e2	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
PT19	Q247	https://www.bfm.ru/news/172103	RU	EN	fact_based_digest	queued	search_verified_only	Organizer attribution in business-media context
PT20	Q247	https://www.bfm.ru/news/172103	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
