task_id	queue_id	url	source_lang	target_lang	format	status	verification_status	notes
DS1	Q206	https://tvrain.tv/articles/chto_sluchilos_s_desantnikami_vse_materialy_dozhdja-374606/	RU	EN	fact_based_digest	queued	verified_open	Core hub; 2014 Donbas soldiers coverage
DS2	Q206	https://tvrain.tv/articles/chto_sluchilos_s_desantnikami_vse_materialy_dozhdja-374606/	RU	FR	fact_based_digest	queued	verified_open	Translate/adapt to French
DS3	Q206	https://tvrain.tv/articles/chto_sluchilos_s_desantnikami_vse_materialy_dozhdja-374606/	RU	DE	fact_based_digest	queued	verified_open	Translate/adapt to German
DS4	Q207	https://tvrain.tv/blog/blog_mihaila_zygarja/nashi_soldaty_vyjasnjaem_sudbu_rossijskih_voennyh_okazavshihsja_na_granitse_s_ukrainoj-435/	RU	EN	fact_based_digest	queued	verified_open	Project launch/explainer
DS5	Q207	https://tvrain.tv/blog/blog_mihaila_zygarja/nashi_soldaty_vyjasnjaem_sudbu_rossijskih_voennyh_okazavshihsja_na_granitse_s_ukrainoj-435/	RU	FR	fact_based_digest	queued	verified_open	Translate/adapt to French
DS6	Q207	https://tvrain.tv/blog/blog_mihaila_zygarja/nashi_soldaty_vyjasnjaem_sudbu_rossijskih_voennyh_okazavshihsja_na_granitse_s_ukrainoj-435/	RU	DE	fact_based_digest	queued	verified_open	Translate/adapt to German
DS7	Q208	http://tvrain.ru/soldat/	RU	EN	fact_based_digest	queued	search_verified_only	Historical project page reference
DS8	Q208	http://tvrain.ru/soldat/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS9	Q208	http://tvrain.ru/soldat/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS10	Q209	https://tvrain.tv/news/telekanal_dozhd_nachal_sbor_informatsii_o_pogibshih_na_ukraine_rossijskih_voennyh-374549/	RU	EN	fact_based_digest	queued	search_verified_only	Launch news URL from official hub
DS11	Q209	https://tvrain.tv/news/telekanal_dozhd_nachal_sbor_informatsii_o_pogibshih_na_ukraine_rossijskih_voennyh-374549/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS12	Q209	https://tvrain.tv/news/telekanal_dozhd_nachal_sbor_informatsii_o_pogibshih_na_ukraine_rossijskih_voennyh-374549/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS13	Q210	https://tvrain.tv/news/kto_oni_i_skolko_ih_dozhd_prodolzhaet_sobirat_spisok_rossijskih_voennyh_pogibshih_i_plenennyh_na_territorii_ukrainy-374347/	RU	EN	fact_based_digest	queued	search_verified_only	List update on killed/captured soldiers
DS14	Q210	https://tvrain.tv/news/kto_oni_i_skolko_ih_dozhd_prodolzhaet_sobirat_spisok_rossijskih_voennyh_pogibshih_i_plenennyh_na_territorii_ukrainy-374347/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS15	Q210	https://tvrain.tv/news/kto_oni_i_skolko_ih_dozhd_prodolzhaet_sobirat_spisok_rossijskih_voennyh_pogibshih_i_plenennyh_na_territorii_ukrainy-374347/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
