task_id	source_id	source_lang	target_lang	url	outlet	verification_status	scaling_priority	status	notes
G1	1	EN	EN	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times	verified_open	P1	queued	Primary wave
G2	1	EN	FR	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times	verified_open	P1	queued	Translate/adapt to French
G3	1	EN	DE	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times	verified_open	P1	queued	Translate/adapt to German
G4	1	EN	ES	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times	verified_open	P1	queued	Translate/adapt to Spanish
G5	1	EN	IT	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times	verified_open	P1	queued	Translate/adapt to Italian
G6	2	EN	EN	https://iranwire.com/en/blogs/67063/	IranWire	verified_open	P1	queued	Primary wave
G7	2	EN	FR	https://iranwire.com/en/blogs/67063/	IranWire	verified_open	P1	queued	Translate/adapt to French
G8	2	EN	DE	https://iranwire.com/en/blogs/67063/	IranWire	verified_open	P1	queued	Translate/adapt to German
G9	2	EN	ES	https://iranwire.com/en/blogs/67063/	IranWire	verified_open	P1	queued	Translate/adapt to Spanish
G10	2	EN	IT	https://iranwire.com/en/blogs/67063/	IranWire	verified_open	P1	queued	Translate/adapt to Italian
G11	3	EN	EN	https://iranwire.com/en/blogs/67758/	IranWire	verified_open	P1	queued	Primary wave
G12	3	EN	FR	https://iranwire.com/en/blogs/67758/	IranWire	verified_open	P1	queued	Translate/adapt to French
G13	3	EN	DE	https://iranwire.com/en/blogs/67758/	IranWire	verified_open	P1	queued	Translate/adapt to German
G14	3	EN	ES	https://iranwire.com/en/blogs/67758/	IranWire	verified_open	P1	queued	Translate/adapt to Spanish
G15	3	EN	IT	https://iranwire.com/en/blogs/67758/	IranWire	verified_open	P1	queued	Translate/adapt to Italian
G16	4	EN	EN	https://iranwire.com/en/blogs/68597/	IranWire	verified_open	P1	queued	Primary wave
G17	4	EN	FR	https://iranwire.com/en/blogs/68597/	IranWire	verified_open	P1	queued	Translate/adapt to French
G18	4	EN	DE	https://iranwire.com/en/blogs/68597/	IranWire	verified_open	P1	queued	Translate/adapt to German
G19	4	EN	ES	https://iranwire.com/en/blogs/68597/	IranWire	verified_open	P1	queued	Translate/adapt to Spanish
G20	4	EN	IT	https://iranwire.com/en/blogs/68597/	IranWire	verified_open	P1	queued	Translate/adapt to Italian
G21	5	EN	EN	https://theins.ru/en/opinion/ilya-klishin	The Insider	verified_open	P1	queued	Primary wave
G22	5	EN	FR	https://theins.ru/en/opinion/ilya-klishin	The Insider	verified_open	P1	queued	Translate/adapt to French
G23	5	EN	DE	https://theins.ru/en/opinion/ilya-klishin	The Insider	verified_open	P1	queued	Translate/adapt to German
G24	5	EN	ES	https://theins.ru/en/opinion/ilya-klishin	The Insider	verified_open	P1	queued	Translate/adapt to Spanish
G25	5	EN	IT	https://theins.ru/en/opinion/ilya-klishin	The Insider	verified_open	P1	queued	Translate/adapt to Italian
G26	6	EN	EN	https://theins.ru/en/opinion/ilya-klishin/256956	The Insider	verified_open	P1	queued	Primary wave
G27	6	EN	FR	https://theins.ru/en/opinion/ilya-klishin/256956	The Insider	verified_open	P1	queued	Translate/adapt to French
G28	6	EN	DE	https://theins.ru/en/opinion/ilya-klishin/256956	The Insider	verified_open	P1	queued	Translate/adapt to German
G29	6	EN	ES	https://theins.ru/en/opinion/ilya-klishin/256956	The Insider	verified_open	P1	queued	Translate/adapt to Spanish
